Order,Family,genus,species,Species,Diploid number,Fundamental number,Sex chromosome,Ploidy,Max Bs,Microchromosomes,Notes,Original listing,Citation
Anura,Cycloramphidae,Odontophrynus,maisuma,Odontophrynus maisuma,22,44,,,,,,,"Borteiro, C., Kolenc, F. and Pereyra, M.O., 2010. A diploid surrounded by polyploids: tadpole description, natural history and cytogenetics of Odontophrynus maisuma Rosset from Uruguay (Anura: Cycloramphidae). Zootaxa, 2611(1), pp.1-15."
Anura,Cycloramphidae,Odontophrynus,occidentalis,Odontophrynus occidentalis,22,44,,,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Cycloramphidae,Proceratophrys,appendiculata,Proceratophrys appendiculata,22,44,,,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Cycloramphidae,Proceratophrys,boiei,Proceratophrys boiei,22,44,ZW,,,,,,"Ananias, F., Modesto, A.D.S., Celi Mendes, S. and Felgueiras Napoli, M., 2007. Unusual primitive heteromorphic ZZ/ZW sex chromosomes in Proceratophrys boiei (Anura, Cycloramphidae, Alsodinae), with description of C_Band interpopulational polymorphism. Hereditas, 144(5), pp.206-212."
Anura,Cycloramphidae,Rhinoderma,darwinii,Rhinoderma darwinii,26,48,,,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Cycloramphidae,Rhinoderma,rufum,Rhinoderma rufum,26,48,,,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Cycloramphidae,Thoropa,miliaris,Thoropa miliaris,26,52,,,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Cycloramphidae,Zachaenus,parvulus,Zachaenus parvulus,26,52,,,,,,Oocormus microps,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Dendrobatidae,Adelphobates,castaneoticus,Adelphobates castaneoticus,18,36,,,,,,,"Rodrigues, P.C., Aguiar, O., Serpieri, F., Lima, A.P., Uetanebaro, M. and Recco-Pimentel, S.M., 2011. Chromosome analysis of five Brazilian species of poison frogs (Anura: Dendrobatidae). Journal of genetics, 90(1), pp.31-37."
Anura,Dendrobatidae,Adelphobates,galactonotus,Adelphobates galactonotus,18,36,,,,,,,"Rodrigues, P.C., Aguiar, O., Serpieri, F., Lima, A.P., Uetanebaro, M. and Recco-Pimentel, S.M., 2011. Chromosome analysis of five Brazilian species of poison frogs (Anura: Dendrobatidae). Journal of genetics, 90(1), pp.31-37."
Anura,Dendrobatidae,Adelphobates,quinquevittatus,Adelphobates quinquevittatus,20,38,,,,,,Dendrobates quinquivittatus,"Bogart, J.P., 1991. The influence of life history on karyotypic evolution in frogs.?Amphibian cytogenetics and evolution, pp.233-258."
Anura,Dendrobatidae,Adelphobates,quinquevittatus,Adelphobates quinquevittatus,18,36,,,,,,,"Rodrigues, P.C., Aguiar, O., Serpieri, F., Lima, A.P., Uetanebaro, M. and Recco-Pimentel, S.M., 2011. Chromosome analysis of five Brazilian species of poison frogs (Anura: Dendrobatidae). Journal of genetics, 90(1), pp.31-37."
Anura,Dendrobatidae,Ameerega,bilinguis,Ameerega bilinguis,24,48,,,,,,,"Vasquez Villalba, E., 2013.?Analisis de los Cromosomas Mitoticos de Ameerega bilinguis y Ameerega hahneli (Anura: Dendrobatidae) de la Estacion Cientifica Yasuni?(Bachelor's thesis, QUITO/PUCE/2013)."
Anura,Dendrobatidae,Ameerega,flavopicta,Ameerega flavopicta,24,42,,,,,,Epipedobates flavopictus,"Aguiar Jr, O., Lima, A.P., Giaretta, A.A. and Recco-Pimentel, S.M., 2002. Cytogenetic analysis of four poison frogs of the Epipedobates genus (Anura: Dendrobatidae). Herpetologica, 58(3), pp.293-303."
Anura,Dendrobatidae,Ameerega,hahneli,Ameerega hahneli,24,42,,,,,,Epipedobates hahneli,"Aguiar Jr, O., Lima, A.P., Giaretta, A.A. and Recco-Pimentel, S.M., 2002. Cytogenetic analysis of four poison frogs of the Epipedobates genus (Anura: Dendrobatidae). Herpetologica, 58(3), pp.293-303."
Anura,Dendrobatidae,Ameerega,hahneli,Ameerega hahneli,24,48,,,,,,,"Vasquez Villalba, E., 2013.?Analisis de los Cromosomas Mitoticos de Ameerega bilinguis y Ameerega hahneli (Anura: Dendrobatidae) de la Estacion Cientifica Yasuni?(Bachelor's thesis, QUITO/PUCE/2013)."
Anura,Dendrobatidae,Ameerega,picta,Ameerega picta,24,44,,,,,,,"Rodrigues, P.C., Aguiar, O., Serpieri, F., Lima, A.P., Uetanebaro, M. and Recco-Pimentel, S.M., 2011. Chromosome analysis of five Brazilian species of poison frogs (Anura: Dendrobatidae). Journal of genetics, 90(1), pp.31-37."
Anura,Dendrobatidae,Ameerega,picta,Ameerega picta,24,48,,,,,,Epipedobates pictus,"Bogart, J.P., 1991. The influence of life history on karyotypic evolution in frogs. Amphibian cytogenetics and evolution, pp.233-258."
Anura,Dendrobatidae,Ameerega,trivittata,Ameerega trivittata,24,,,,,,,Phyllobates trivittatus,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dendrobatidae,Ameerega,trivittata,Ameerega trivittata,24,44,,,,,,Epipedobates trivittatus,"Aguiar Jr, O., Lima, A.P., Giaretta, A.A. and Recco-Pimentel, S.M., 2002. Cytogenetic analysis of four poison frogs of the Epipedobates genus (Anura: Dendrobatidae). Herpetologica, 58(3), pp.293-303."
Anura,Dendrobatidae,Andinobates,opisthomelas,Andinobates opisthomelas,22,42,,,,,,Minyobates opisthomelas,"Bogart, J.P., 1991. The influence of life history on karyotypic evolution in frogs.?Amphibian cytogenetics and evolution, pp.233-258."
Anura,Dendrobatidae,Colostethus,fraterdanieli,Colostethus fraterdanieli,24,40,,,,,,,"Bogart, J.P., 1991. The influence of life history on karyotypic evolution in frogs. Amphibian cytogenetics and evolution, pp.233-258."
Anura,Dendrobatidae,Colostethus,inguinalis,Colostethus inguinalis,24,,,,,,,,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dendrobatidae,Colostethus,sp 1,Colostethus sp 1,22,,,,,,,,"Menoncello, A.C.P.V., Pimentel, S.M.R. and Lima, A.P., 2003. Cytogenetic analysis of four central Amazonian species of Colostethus (Anura-Dendrobatidae) with a diploid complement of 22 cromosomes."
Anura,Dendrobatidae,Colostethus,sp 2,Colostethus sp 2,22,,,,,,,,"Menoncello, A.C.P.V., Pimentel, S.M.R. and Lima, A.P., 2003. Cytogenetic analysis of four central Amazonian species of Colostethus (Anura-Dendrobatidae) with a diploid complement of 22 cromosomes."
Anura,Dendrobatidae,Dendrobates,auratus,Dendrobates auratus,18,36,,,,,,,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dendrobatidae,Dendrobates,tinctorius,Dendrobates tinctorius,18,36,,,,,,,"Rodrigues, P.C., Aguiar, O., Serpieri, F., Lima, A.P., Uetanebaro, M. and Recco-Pimentel, S.M., 2011. Chromosome analysis of five Brazilian species of poison frogs (Anura: Dendrobatidae). Journal of genetics, 90(1), pp.31-37."
Anura,Dendrobatidae,Dendrobates,truncatus,Dendrobates truncatus,18,36,,,,,,,"Bogart, J.P., 1991. The influence of life history on karyotypic evolution in frogs.?Amphibian cytogenetics and evolution, pp.233-258."
Anura,Dendrobatidae,Hyloxalus,subpunctatus,Hyloxalus subpunctatus,24,38,,,,,,Colostethus subpunctatus,"Bogart, J.P., 1991. The influence of life history on karyotypic evolution in frogs. Amphibian cytogenetics and evolution, pp.233-258."
Anura,Dendrobatidae,Hyloxalus,vertebralis,Hyloxalus vertebralis,24,48,,,,,,Colostethus vertebralis,"Bogart, J.P., 1991. The influence of life history on karyotypic evolution in frogs. Amphibian cytogenetics and evolution, pp.233-258."
Anura,Dendrobatidae,Oophaga,granulifera,Oophaga granulifera,20,40,,,,,,Dendrobates granuliferus,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dendrobatidae,Oophaga,histrionica,Oophaga histrionica,20,40,,,,,,Dendrobates histrionicus,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dendrobatidae,Oophaga,pumilio,Oophaga pumilio,20,,,,,,,Dendrobates typographus,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Dendrobatidae,Oophaga,pumilio,Oophaga pumilio,20,40,,,,,,Dendrobates pumilio,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dendrobatidae,Phyllobates,lugubris,Phyllobates lugubris,24,44,,,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Dicroglossidae,Euphlyctis,cyanophlyctis,Euphlyctis cyanophlyctis,26,52,ZW,,,,,Rana cyanophlyctis,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Dicroglossidae,Euphlyctis,hexadactylus,Euphlyctis hexadactylus,26,,,,,,,Rana hexadactyla,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dicroglossidae,Fejervarya,cancrivora,Fejervarya cancrivora,26,,,,,,,Rana cancrivora,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dicroglossidae,Fejervarya,cf brevipalmata,Fejervarya cf brevipalmata,26,52,,,,,,,"Joshy, S.H. and Kuramoto, M., 2008. Comparative chromosome studies of five species of the genus Fejervarya (Anura: Ranidae) from South India.?Cytologia,?73(3), pp.243-250."
Anura,Dicroglossidae,Fejervarya,cf keralensis,Fejervarya cf keralensis,26,52,,,,,,,"Joshy, S.H. and Kuramoto, M., 2008. Comparative chromosome studies of five species of the genus Fejervarya (Anura: Ranidae) from South India.?Cytologia,?73(3), pp.243-250."
Anura,Dicroglossidae,Fejervarya,cf limnocharis,Fejervarya cf limnocharis,26,52,,,,,,,"Joshy, S.H. and Kuramoto, M., 2008. Comparative chromosome studies of five species of the genus Fejervarya (Anura: Ranidae) from South India.?Cytologia,?73(3), pp.243-250."
Anura,Dicroglossidae,Fejervarya,limnocharis,Fejervarya limnocharis,26,52,XY,,,,,,"Patawang, I., Tanomtong, A., Phimphan, S., Chuaynkern, Y., Chuaynkern, C., Phaengphairee, P., Khrueanet, W. and Nithikulworawong, N., 2014. The identification of sex-chromosomes and karyological analysis of rice frog, Fejervarya limnocharis (Anura, Ranidae) from Northeast Thailand. Cytologia, 79(2), pp.141-150."
Anura,Dicroglossidae,Fejervarya,limnocharis,Fejervarya limnocharis,26,52,,,,,,Rana limnocharis limnocharis,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Dicroglossidae,Fejervarya,rufescens,Fejervarya rufescens,26,52,,,,,,,"Joshy, S.H. and Kuramoto, M., 2008. Comparative chromosome studies of five species of the genus Fejervarya (Anura: Ranidae) from South India.?Cytologia,?73(3), pp.243-250."
Anura,Dicroglossidae,Fejervarya,sahyadris,Fejervarya sahyadris,26,52,,,,,,,"Joshy, S.H. and Kuramoto, M., 2008. Comparative chromosome studies of five species of the genus Fejervarya (Anura: Ranidae) from South India.?Cytologia,?73(3), pp.243-250."
Anura,Dicroglossidae,Fejervarya,vittigera,Fejervarya vittigera,26,,,,,,,Rana limnocharis vittigera,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dicroglossidae,Hoplobatrachus,crassus,Hoplobatrachus crassus,26,,,,,,,Rana crassa,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dicroglossidae,Hoplobatrachus,occipitalis,Hoplobatrachus occipitalis,52,,,4,,,bisexual reproduction,Dicroglossus occipitalis,"Schmid, M., Evans, B. J., and Bogart, J. P. (2015). Polyploidy in amphibia.?Cytogenetic and genome research,?145(3-4), 315-330."
Anura,Dicroglossidae,Hoplobatrachus,occipitalis,Hoplobatrachus occipitalis,26,52,,2,,,,Rana occipitalis,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Dicroglossidae,Hoplobatrachus,occipitalis,Hoplobatrachus occipitalis,52,104,,4,,,,Rana occipitalis,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Dicroglossidae,Hoplobatrachus,rugulosus,Hoplobatrachus rugulosus,26,,,,,,,Rana rugulosa,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dicroglossidae,Hoplobatrachus,tigerinus,Hoplobatrachus tigerinus,26,52,ZW,,,,,Rana tigerina,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Dicroglossidae,Limnonectes,acanthi,Limnonectes acanthi,24,,,,,,,Rana magna acanthi,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dicroglossidae,Limnonectes,blythii,Limnonectes blythii,24,,,,,,,Rana blythi,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dicroglossidae,Limnonectes,fujianensis,Limnonectes fujianensis,22,44,,,,,,,"Peng, Q., Wang, Y. and Xu, J., 2005. Karyotype, C-band and Ag-NORs of Limnonectes fujianensis. CHINESE JOURNAL OF ZOOLOGY-PEKING-, 40(3), p.77."
Anura,Dicroglossidae,Limnonectes,kuhlii,Limnonectes kuhlii,22,44,,,,,,Rana kuhlii,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Dicroglossidae,Limnonectes,macrodon,Limnonectes macrodon,24,48,,,,,,Rana macrodon,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Dicroglossidae,Limnonectes,namiyei,Limnonectes namiyei,22,44,,,,,,Rana namiyei,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Dicroglossidae,Limnonectes,visayanus,Limnonectes visayanus,24,,,,,,,Rana magna visayanus,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dicroglossidae,Nanorana,parkeri,Nanorana parkeri,26,,,,,,,Altirana parkeri,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dicroglossidae,Nanorana,phrynoides,Nanorana phrynoides,64,,,,,,,Rana phrynoides,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dicroglossidae,Nanorana,yunnanensis,Nanorana yunnanensis,64,64,,,,,,Paa yunnanensis,"SUN, A.Q., TIAN, Y.Z. and LI, S., 2007. Study on the karyotype and Ag-NORs of Rhacophorus nigropunctatus, Paa yunnanensis.?Journal of Liupanshui Teachers College,?6, p.003."
Anura,Dicroglossidae,Occidozyga,laevis,Occidozyga laevis,26,52,,,,,,,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Anura,Dicroglossidae,Occidozyga,lima,Occidozyga lima,26,,,,,,,,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dicroglossidae,Occidozyga,martensii,Occidozyga martensii,26,,,,,,,Occidozyga martensi,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Dicroglossidae,Quasipaa,boulengeri,Quasipaa boulengeri,26,50,,,,,,,"Qing, L., Xia, Y., Zheng, Y. and Zeng, X., 2012. A de novo case of floating chromosomal polymorphisms by translocation in Quasipaa boulengeri (Anura, Dicroglossidae). PloS one, 7(10), p.e46163."
Anura,Dicroglossidae,Quasipaa,boulengeri,Quasipaa boulengeri,26,52,,,,,,,"Qing, L., Xia, Y., Zheng, Y. and Zeng, X., 2012. A de novo case of floating chromosomal polymorphisms by translocation in Quasipaa boulengeri (Anura, Dicroglossidae). PloS one, 7(10), p.e46163."
Anura,Dicroglossidae,Quasipaa,spinosa,Quasipaa spinosa,26,,,,,,,Rana spinosa,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Eleutherodactylidae,Diasporus,diastema,Diasporus diastema,20,36,,,,,,Eleutherodactylus diastema,"Campos, J. R. C., and Kasahara, S. (2006). Os cromossomos dos anfibios anuros do genero Eleutherodactylus (Anura: Leptodactylidae: Eleutherodactylinae).?Publicatio UEPG: Ciencias Biologicas e da Saude, Ponta Grossa,?12, 27-38."
Anura,Eleutherodactylidae,Diasporus,diastema,Diasporus diastema,18,36,,,,,,Eleutherodactylus diastema,"Campos, J. R. C., and Kasahara, S. (2006). Os cromossomos dos anfibios anuros do genero Eleutherodactylus (Anura: Leptodactylidae: Eleutherodactylinae).?Publicatio UEPG: Ciencias Biologicas e da Saude, Ponta Grossa,?12, 27-38."
Anura,Eleutherodactylidae,Diasporus,vocator,Diasporus vocator,18,31,,,,,,Eleutherodactylus vocator,"Chen, Shyh-Hwang, ""Cytogenetic study of the lower Central American frogs of the subgenus Craugastor (Anura: Leptodactylidae: Eleutherodactylus)"" (2001)"
Anura,Eleutherodactylidae,Eleutherodactylus,abbotti,Eleutherodactylus abbotti,18,36,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,alticola,Eleutherodactylus alticola,32,36,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,amplinympha,Eleutherodactylus amplinympha,28,34,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,andrewsi,Eleutherodactylus andrewsi,32,36,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,antillensis,Eleutherodactylus antillensis,26,46,,,,,,,"Gregory, T. R. (2001). Animal genome size database."
Anura,Eleutherodactylidae,Eleutherodactylus,antillensis,Eleutherodactylus antillensis,26,50,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,antillensis,Eleutherodactylus antillensis,26,52,,,,,,,"Gregory, T. R. (2001). Animal genome size database."
Anura,Eleutherodactylidae,Eleutherodactylus,atkinsi,Eleutherodactylus atkinsi,28,36,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,auriculatus,Eleutherodactylus auriculatus,18,36,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,bakeri,Eleutherodactylus bakeri,28,32,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,bakeri,Eleutherodactylus bakeri,27,32,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,brittoni,Eleutherodactylus brittoni,26,42,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,brittoni,Eleutherodactylus brittoni,26,52,,,,,,,"Campos, J. R. C., and Kasahara, S. (2006). Os cromossomos dos anfibios anuros do genero Eleutherodactylus (Anura: Leptodactylidae: Eleutherodactylinae).?Publicatio UEPG: Ciencias Biologicas e da Saude, Ponta Grossa,?12, 27-38."
Anura,Eleutherodactylidae,Eleutherodactylus,cavernicola,Eleutherodactylus cavernicola,30,36,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,cochranae,Eleutherodactylus cochranae,26,42,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,cooki,Eleutherodactylus cooki,26,50,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,coqui,Eleutherodactylus coqui,26,52,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,cundalli,Eleutherodactylus cundalli,30,36,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,cundalli,Eleutherodactylus cundalli,29,36,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,cuneatus,Eleutherodactylus cuneatus,32,,,,,,,,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Eleutherodactylidae,Eleutherodactylus,dimidiatus,Eleutherodactylus dimidiatus,30,32,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,eneidae,Eleutherodactylus eneidae,26,52,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,fuscus,Eleutherodactylus fuscus,28,38,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,glandulifer,Eleutherodactylus glandulifer,31,32,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,glaucoreius,Eleutherodactylus glaucoreius,30,36,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,glaucoreius,Eleutherodactylus glaucoreius,29,36,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,goini,Eleutherodactylus goini,32,36,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,gossei,Eleutherodactylus gossei,26,38,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,grabhami,Eleutherodactylus grabhami,30,56,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,griphus,Eleutherodactylus griphus,32,36,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,gryllus,Eleutherodactylus gryllus,26,50,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,hedricki,Eleutherodactylus hedricki,26,46,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,hedricki,Eleutherodactylus hedricki,26,52,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,heminota,Eleutherodactylus heminota,28,32,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,heminota,Eleutherodactylus heminota,27,32,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,heminota,Eleutherodactylus heminota,30,,XY,,,,,,"Schmid, M. and Steinlein, C., 2018. Chromosome Banding in Amphibia. XXXVII. Y-Autosome Translocations in Anura.ÊCytogenetic and genome research,Ê154(3), pp.153-180."
Anura,Eleutherodactylidae,Eleutherodactylus,ionthus,Eleutherodactylus ionthus,26,,,,,,,,"Hedges, S.B., Estrada, A.R. and Thomas, R., 1992. Three new species of Eleutherodactylus from eastern Cuba, with notes on vocalizations of other species (Anura: Leptodactylidae). Herpetological Monographs, pp.68-83."
Anura,Eleutherodactylidae,Eleutherodactylus,jamaicensis,Eleutherodactylus jamaicensis,30,42,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,jasperi,Eleutherodactylus jasperi,26,,,,,,,,"Kuramoto, M. 1990. A list of chromosome numbers of anuran amphibians. Bulletin of Fukuoka University of Education, 39(3), pp.83-127."
Anura,Eleutherodactylidae,Eleutherodactylus,johnstonei,Eleutherodactylus johnstonei,28,36,XY,,,,,,"Schmid, M. and Steinlein, C., 2018. Chromosome Banding in Amphibia. XXXVI. Multimorphic Sex Chromosomes and an Enigmatic Sex Determination in Eleutherodactylus johnstonei (Anura, Eleutherodactylidae).?Cytogenetic and genome research,?154(2), pp.86-98."
Anura,Eleutherodactylidae,Eleutherodactylus,junori,Eleutherodactylus junori,24,38,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
Anura,Eleutherodactylidae,Eleutherodactylus,karlschmidti,Eleutherodactylus karlschmidti,30,40,,,,,,,"Schmid M., J.P. Bogart, S.B. Hedges. 2010. Cytogenetics and Genome Research 130-131:1-568"
